text,sentiment,confidence,source
"By the way, in what consists the special sacredness of a State?",POSITIVE,0.6288,Lincoln
"I speak  not of the position assigned to a State in the Union by the  Constitution; for that, by the bond, we all recognize.",POSITIVE,0.9944,Lincoln
"That position,  however, a State cannot carry out of the Union with it.",POSITIVE,0.7631,Lincoln
"I speak of that  assumed primary right of a State to rule all which islessthan  itself, and ruin all which is larger than itself.",NEGATIVE,0.8329,Lincoln
"If a State and a  county in a given case should be equal in extent of territory, and equal  in number of inhabitants, in what, as a matter of principle, is the  State better than the county?",NEGATIVE,0.7995,Lincoln
Would an exchange ofnamesbe an  exchange ofrightsupon principle?,NEGATIVE,0.9427,Lincoln
"On what rightful principle may a  State, being not more than one-fiftieth part of the nation in soil and  population, break up the nation, and then coerce a proportionally larger  subdivision of itself in the most arbitrary way?",NEGATIVE,0.9973,Lincoln
"What mysterious right  to play tyrant is conferred on a district of country, with its people,  by merely calling it a State?",NEGATIVE,0.9937,Lincoln
"Fellow-citizens, I am not asserting anything: I am merely asking  questions for you to consider.",POSITIVE,0.6421,Lincoln
And now allow me to bid you farewell.,NEGATIVE,0.9601,Lincoln
"It is true, as has been said by the president of the Senate, that a very  great responsibility rests upon me in the position to which the votes of  the American people have called me.",POSITIVE,0.9977,Lincoln
I am deeply sensible of that weighty  responsibility.,POSITIVE,0.9984,Lincoln
"I cannot but know, what you all know, that without a  name, perhaps without a reason why I should have a name, there has  fallen upon me a task such as did not rest even upon the Father of his  Country; and so feeling, I cannot but turn and look for that support  without which it will be impossible for me to perform that great task.",NEGATIVE,0.9657,Lincoln
"I  turn then, and look to the great American people, and to that God who  has never forsaken them.",POSITIVE,0.9979,Lincoln
Allusion has been made to the interest felt in  relation to the policy of the new Administration.,POSITIVE,0.9585,Lincoln
"In this I have  received from some a degree of credit for having kept silence, and from  others, some deprecation.",POSITIVE,0.9704,Lincoln
I still think I was right.,POSITIVE,0.9952,Lincoln
"In the varying and repeatedly shifting scenes of the present, and  without a precedent which could enable me to judge by the past, it has  seemed fitting that before speaking upon the difficulties of the  country, I should have gained a view of the whole field, being at  liberty to modify and change the course of policy as future events may  make a change necessary.",NEGATIVE,0.5502,Lincoln
I have not maintained silence from any want of real anxiety.,NEGATIVE,0.9986,Lincoln
"It is a  good thing that there is no more than anxiety, for there is nothing  going wrong.",POSITIVE,0.999,Lincoln
"It is a consoling circumstance that when we look out, there  is nothing that really hurts anybody.",POSITIVE,0.9979,Lincoln
"We entertain different views upon  political questions, but nobody is suffering anything.",POSITIVE,0.999,Lincoln
"This is a most  consoling circumstance, and from it we may conclude that all we want is  time, patience, and a reliance on that God who has never forsaken this  people.",POSITIVE,0.9947,Lincoln
...,POSITIVE,0.8383,Lincoln
"The condition of the country is an extraordinary one, and fills the  mind of every patriot with anxiety.",POSITIVE,0.997,Lincoln
"It is my intention to give this  subject all the consideration I possibly can, before specially deciding  in regard to it, so that when I do speak, it may be as nearly right as  possible.",POSITIVE,0.5959,Lincoln
"When I do speak, I hope I may say nothing in opposition to the  spirit of the Constitution, contrary to the integrity of the Union, or  which will prove inimical to the liberties of the people or to the peace  of the whole country.",NEGATIVE,0.7104,Lincoln
"And furthermore, when the time arrives for me to  speak on this great subject, I hope I may say nothing to disappoint the  people generally throughout the country, especially if the expectation  has been based upon anything which I have heretofore said.",POSITIVE,0.9904,Lincoln
...,POSITIVE,0.8383,Lincoln
"If the great American people only keep their temper on both sides of  the line, the troubles will come to an end, and the question which now  distracts the country will be settled, just as surely as all other  difficulties of a like character which have originated in this  government have been adjusted.",POSITIVE,0.7362,Lincoln
"Let the people on both sides keep their  self-possession, and just as other clouds have cleared away in due time,  so will this great nation continue to prosper as heretofore.",POSITIVE,0.9825,Lincoln
...,POSITIVE,0.8383,Lincoln
It is often said that the tariff is the specialty of Pennsylvania.,POSITIVE,0.9629,Lincoln
"Assuming that direct taxation is not to be adopted, the tariff question  must be as durable as the government itself.",NEGATIVE,0.8128,Lincoln
It is a question of  national house-keeping.,NEGATIVE,0.851,Lincoln
It is to the government what replenishing the  meal-tub is to the family.,POSITIVE,0.5511,Lincoln
Ever-varying circumstances will require  frequent modifications as to the amount needed and the sources of  supply.,NEGATIVE,0.9506,Lincoln
So far there is little difference of opinion among the people.,NEGATIVE,0.9997,Lincoln
"It is only whether, and how far, duties on imports shall be adjusted to  favour home productions.",NEGATIVE,0.9996,Lincoln
In the home market that controversy begins.,NEGATIVE,0.9803,Lincoln
"One  party insists that too much protection oppresses one class for the  advantage of another; while the other party argues that, with all its  incidents, in the long run all classes are benefited.",POSITIVE,0.9349,Lincoln
"In the Chicago  platform there is a plank upon this subject, which should be a general  law to the incoming Administration.",POSITIVE,0.7958,Lincoln
We should do neither more nor less  than we gave the people reason to believe we would when they gave us  their votes.,NEGATIVE,0.9986,Lincoln
"That plank is as I now read: ""That while providing revenue for the support of the general       government by duties upon imports, sound policy requires such an       adjustment of these imposts as will encourage the development of       the industrial interest of the whole country; and we commend that       policy of national exchanges which secures to working-men liberal       wages, to agriculture remunerating prices, to mechanics and       manufacturers adequate reward for their skill, labour, and       enterprise, and to the nation commercial prosperity and       independence.""",NEGATIVE,0.6259,Lincoln
...,POSITIVE,0.8383,Lincoln
My political education strongly inclines me against a very free use  of any of the means by the Executive to control the legislation of the  country.,NEGATIVE,0.8894,Lincoln
"As a rule, I think it better that Congress should originate as  well as perfect its measures without external bias.",NEGATIVE,0.9526,Lincoln
"I therefore would  rather recommend to every gentleman who knows he is to be a member of  the next Congress, to take an enlarged view, and post himself  thoroughly, so as to contribute his part to such an adjustment of the  tariff as shall provide a sufficient revenue, and in its other bearings,  so far as possible, be just and equal to all sections of the country and  classes of the people.",POSITIVE,0.8783,Lincoln
...,POSITIVE,0.8383,Lincoln
I cannot but remember the place that New Jersey holds in our early  history.,POSITIVE,0.9588,Lincoln
In the early Revolutionary struggle few of the States among the  old thirteen had more of the battle-fields of the country within their  limits than old New Jersey.,NEGATIVE,0.6778,Lincoln
"May I be pardoned if, upon this occasion, I  mention that away back in my childhood, the earliest days of my being  able to read, I got hold of a small book, such a one as few of the  younger members have ever seen,—""Weems's Life of Washington.""",POSITIVE,0.7006,Lincoln
"I  remember all the accounts there given of the battle-fields and struggles  for the liberties of the country, and none fixed themselves upon my  imagination so deeply as the struggle here at Trenton, New Jersey.",NEGATIVE,0.9709,Lincoln
"The  crossing of the river, the contest with the Hessians, the great  hardships endured at that time,—all fixed themselves upon my memory  more than any single Revolutionary event; and you all know, for you have  all been boys, how those early impressions last longer than any others.",POSITIVE,0.9996,Lincoln
"I recollect thinking then, boy even though I was, that there must have  been something more than common that these men struggled for.",NEGATIVE,0.9565,Lincoln
"I am  exceedingly anxious that that thing—that something even more than  national independence; that something that held out a great promise to  all the people of the world for all time to come,—I am exceedingly  anxious that this Union, the Constitution, and the liberties of the  people shall be perpetuated in accordance with the original idea for  which the struggle was made, and I shall be most happy indeed if I shall  be an humble instrument in the hands of the Almighty, and of this, His  most chosen people, for perpetuating the object of that great struggle.",POSITIVE,0.9077,Lincoln
"I am filled with deep emotion at finding myself standing in this place,  where were collected together the wisdom, the patriotism, the devotion  to principle, from which sprang the institutions under which we live.",POSITIVE,0.9997,Lincoln
You have kindly suggested to me that in my hands is the task of  restoring peace to our distracted country.,POSITIVE,0.9935,Lincoln
"I can say in return, sir,  that all the political sentiments I entertain have been drawn, so far as  I have been able to draw them, from the sentiments which originated in  and were given to the world from this hall.",POSITIVE,0.9979,Lincoln
"I have never had a feeling,  politically, that did not spring from the sentiments embodied in the  Declaration of Independence.",POSITIVE,0.8805,Lincoln
I have often pondered over the dangers which were incurred by the men  who assembled here and framed and adopted that Declaration.,NEGATIVE,0.7423,Lincoln
I have  pondered over the toils that were endured by the officers and soldiers  of the army who achieved that independence.,POSITIVE,0.977,Lincoln
I have often inquired of  myself what great principle or idea it was that kept this Confederacy so  long together.,POSITIVE,0.9934,Lincoln
"It was not the mere matter of separation of the colonies  from the motherland, but that sentiment in the Declaration of  Independence which gave liberty not alone to the people of this country,  but hope to all the world, for all future time.",POSITIVE,0.9972,Lincoln
"It was that which gave  promise that in due time the weights would be lifted from the shoulders  of all men, and that all should have an equal chance.",POSITIVE,0.7588,Lincoln
This is the  sentiment embodied in the Declaration of Independence.,POSITIVE,0.9907,Lincoln
"Now, my friends, can this country be saved on that basis?",POSITIVE,0.9955,Lincoln
"If it can, I  will consider myself one of the happiest men in the world if I can help  to save it.",NEGATIVE,0.8968,Lincoln
"If it cannot be saved upon that principle, it will be truly  awful.",NEGATIVE,0.9996,Lincoln
"But if this country cannot be saved without giving up that  principle, I was about to say I would rather be assassinated on this  spot than surrender it.",NEGATIVE,0.9278,Lincoln
"Now, in my view of the present aspect of affairs, there is no need of  bloodshed and war.",POSITIVE,0.9954,Lincoln
There is no necessity for it.,NEGATIVE,0.9977,Lincoln
I am not in favour of  such a course; and I may say in advance that there will be no bloodshed  unless it is forced upon the government.,NEGATIVE,0.9317,Lincoln
The government will not use  force unless force is used against it.,NEGATIVE,0.9912,Lincoln
"My friends, this is wholly an unprepared speech.",POSITIVE,0.7263,Lincoln
I did not expect to be  called on to say a word when I came here.,NEGATIVE,0.7757,Lincoln
I supposed I was merely to do  something toward raising a flag.,NEGATIVE,0.997,Lincoln
"I may, therefore, have said something  indiscreet.",NEGATIVE,0.9213,Lincoln
"But I have said nothing but what I am willing to live by,  and, if it be the pleasure of Almighty God, to die by.",POSITIVE,0.9748,Lincoln
"Mr. Mayor, I thank you, and through you the municipal authorities of  this city who accompany you, for this welcome.",POSITIVE,0.9694,Lincoln
"And as it is the first  time in my life, since the present phase of politics has presented  itself in this country, that I have said anything publicly within a  region of country where the institution of slavery exists, I will take  this occasion to say that I think very much of the ill-feeling that has  existed and still exists between the people in the section from which I  came and the people here, is dependent upon a misunderstanding of one  another.",NEGATIVE,0.9999,Lincoln
"I therefore avail myself of this opportunity to assure you, Mr.  Mayor, and all the gentlemen present, that I have not now, and never  have had, any other than as kindly feelings towards you as to the people  of my own section.",POSITIVE,0.9775,Lincoln
I have not now and never have had any disposition to  treat you in any respect otherwise than as my own neighbours.,POSITIVE,0.9102,Lincoln
"I have not  now any purpose to withhold from you any of the benefits of the  Constitution under any circumstances, that I would not feel myself  constrained to withhold from my own neighbours; and I hope, in a word,  that when we become better acquainted,—and I say it with great  confidence,—we shall like each other the more.",POSITIVE,0.9887,Lincoln
I thank you for the  kindness of this reception.,POSITIVE,0.9658,Lincoln
"Fellow-citizens of the United States, In compliance with a custom as old  as the government itself, I appear before you to address you briefly,  and to take in your presence the oath prescribed by the Constitution of  the United States to be taken by the President ""before he enters on the  execution of his office.""",POSITIVE,0.8131,Lincoln
I do not consider it necessary at present for me to discuss those  matters of administration about which there is no special anxiety or  excitement.,NEGATIVE,0.896,Lincoln
Apprehension seems to exist among the people of the Southern States that  by the accession of a Republican administration their property and their  peace and personal security are to be endangered.,NEGATIVE,0.6814,Lincoln
There has never been  any reasonable cause for such apprehension.,NEGATIVE,0.9987,Lincoln
"Indeed, the most ample  evidence to the contrary has all the while existed and been open to  their inspection.",NEGATIVE,0.8411,Lincoln
It is found in nearly all the published speeches of  him who now addresses you.,POSITIVE,0.9724,Lincoln
"I do but quote from one of those speeches  when I declare that ""I have no purpose, directly or indirectly, to  interfere with the institution of slavery in the States where it exists.",NEGATIVE,0.8548,Lincoln
"I believe I have no lawful right to do so, and I have no inclination to  do so.""",NEGATIVE,0.9983,Lincoln
"Those who nominated and elected me did so with full knowledge  that I had made this and many similar declarations, and had never  recanted them.",POSITIVE,0.9975,Lincoln
"And, more than this, they placed in the platform for my  acceptance, and as a law to themselves and to me, the clear and emphatic  resolution which I now read:— ""Resolved, That the maintenance inviolate of the rights of the       States, and especially the right of each State to order and control       its own domestic institutions according to its own judgment       exclusively, is essential to that balance of power on which the       perfection and endurance of our political fabric depend, and we       denounce the lawless invasion by armed force of the soil of any       State or Territory, no matter under what pretext, as among the       gravest of crimes.""",POSITIVE,0.9968,Lincoln
"I now reiterate these sentiments; and, in doing so, I only press upon  the public attention the most conclusive evidence of which the case is  susceptible, that the property, peace, and security of no section are to  be in any wise endangered by the now incoming administration.",NEGATIVE,0.7924,Lincoln
"I add,  too, that all the protection which, consistently with the Constitution  and the laws, can be given, will be cheerfully given to all the States  when lawfully demanded, for whatever cause—as cheerfully to one section  as to another.",POSITIVE,0.936,Lincoln
There is much controversy about the delivering up of fugitives from  service or labour.,NEGATIVE,0.974,Lincoln
"The clause I now read is as plainly written in the  Constitution as any other of its provisions:— ""No person held to service or labour in one State, under the laws       thereof, escaping into another, shall in consequence of any law or       regulation therein be discharged from such service or labour, but       shall be delivered up on claim of the party to whom such service or       labour may be due.""",NEGATIVE,0.8264,Lincoln
It is scarcely questioned that this provision was intended by those who  made it for the reclaiming of what we call fugitive slaves; and the  intention of the lawgiver is the law.,POSITIVE,0.9834,Lincoln
All members of Congress swear  their support to the whole Constitution—to this provision as much as to  any other.,POSITIVE,0.9031,Lincoln
"To the proposition, then, that slaves whose cases come within  the terms of this clause ""shall be delivered up,"" their oaths are  unanimous.",POSITIVE,0.9085,Lincoln
"Now, if they would make the effort in good temper, could they  not with nearly equal unanimity frame and pass a law by means of which  to keep good that unanimous oath?",NEGATIVE,0.8091,Lincoln
There is some difference of opinion whether this clause should be  enforced by national or by State authority; but surely that difference  is not a very material one.,NEGATIVE,0.9929,Lincoln
"If the slave is to be surrendered, it can be  of but little consequence to him or to others by which authority it is  done.",NEGATIVE,0.7891,Lincoln
And should any one in any case be content that his oath shall go  unkept on a merely unsubstantial controversy as to how it shall be  kept?,NEGATIVE,0.9634,Lincoln
"Again, in any law upon this subject, ought not all the safeguards of  liberty known in civilized and humane jurisprudence to be introduced, so  that a free man be not, in any case, surrendered as a slave?",NEGATIVE,0.8698,Lincoln
"And might  it not be well at the same time to provide by law for the enforcement of  that clause in the Constitution which guarantees that ""the citizen of  each State shall be entitled to all privileges and immunities of  citizens in the several States""?",NEGATIVE,0.7547,Lincoln
"I take the official oath to-day with no mental reservations, and with no  purpose to construe the Constitution or laws by any hypercritical rules.",NEGATIVE,0.5748,Lincoln
"And while I do not choose now to specify particular acts of Congress as  proper to be enforced, I do suggest that it will be much safer for all,  both in official and private stations, to conform to and abide by all  those acts which stand unrepealed, than to violate any of them, trusting  to find impunity in having them held to be unconstitutional.",NEGATIVE,0.9971,Lincoln
It is seventy-two years since the first inauguration of a President  under our National Constitution.,POSITIVE,0.9971,Lincoln
"During that period fifteen different  and greatly distinguished citizens have, in succession, administered the  executive branch of the government They have conducted it through many  perils, and generally with great success.",POSITIVE,0.9989,Lincoln
"Yet, with all this scope of  precedent, I now enter upon the same task for the brief constitutional  term of four years under great and peculiar difficulty.",NEGATIVE,0.6482,Lincoln
"A disruption of  the Federal Union, heretofore only menaced, is now formidably attempted.",NEGATIVE,0.8453,Lincoln
"I hold that, in contemplation of universal law and of the Constitution,  the Union of these States is perpetual.",POSITIVE,0.9971,Lincoln
"Perpetuity is implied, if not  expressed, in the fundamental law of all national governments.",POSITIVE,0.9407,Lincoln
It is  safe to assert that no government proper ever had a provision in its  organic law for its own termination.,NEGATIVE,0.9913,Lincoln
"Continue to execute all the express  provisions of our National Constitution, and the Union will endure for  ever—it being impossible to destroy it except by some action not  provided for in the instrument itself.",POSITIVE,0.7927,Lincoln
"Again, if the United States be not a government proper, but an  association of States in the nature of contract merely, can it, as a  contract, be peaceably unmade by less than all the parties who made it?",POSITIVE,0.6882,Lincoln
"One party to a contract may violate it—break it, so to speak; but does  it not require all to lawfully rescind it?",POSITIVE,0.5331,Lincoln
"Descending from these general principles, we find the proposition that  in legal contemplation the Union is perpetual confirmed by the history  of the Union itself.",POSITIVE,0.9985,Lincoln
The Union is much older than the Constitution.,NEGATIVE,0.5,Lincoln
"It  was formed, in fact, by the Articles of Association in 1774.",POSITIVE,0.9476,Lincoln
It was  matured and continued by the Declaration of Independence in 1776.,POSITIVE,0.9568,Lincoln
"It was  further matured, and the faith of all the then thirteen States expressly  plighted and engaged that it should be perpetual, by the Articles of  Confederation in 1778.",POSITIVE,0.9873,Lincoln
"And, finally, in 1787 one of the declared objects  for ordaining and establishing the Constitution was ""to form a more  perfect Union.""",POSITIVE,0.8968,Lincoln
"But if the destruction of the Union by one or by a part only of the  States be lawfully possible, the Union is less perfect than before the  Constitution, having lost the vital element of perpetuity.",NEGATIVE,0.9986,Lincoln
"It follows from these views that no State upon its own mere motion can  lawfully get out of the Union; that resolves and ordinances to that  effect are legally void; and that acts of violence, within any State or  States, against the authority of the United States, are insurrectionary  or revolutionary, according to circumstances.",NEGATIVE,0.5004,Lincoln
"I therefore consider that, in view of the Constitution and the laws, the  Union is unbroken; and to the extent of my ability I shall take care, as  the Constitution itself expressly enjoins upon me, that the laws of the  Union be faithfully executed in all the States.",POSITIVE,0.9971,Lincoln
"Doing this I deem to be  only a simple duty on my part; and I shall perform it so far as  practicable, unless my rightful masters, the American people, shall  withhold the requisite means, or in some authoritative manner direct the  contrary.",POSITIVE,0.5882,Lincoln
"I trust this will not be regarded as a menace, but only as the  declared purpose of the Union that it will constitutionally defend and  maintain itself.",POSITIVE,0.9938,Lincoln
"In doing this there needs to be no bloodshed or violence; and there  shall be none, unless it be forced upon the national authority.",POSITIVE,0.9988,Lincoln
"The  power confided to me will be used to hold, occupy, and possess the  property and places belonging to the government, and to collect the  duties and imposts; but beyond what may be necessary for these objects,  there will be no invasion, no using of force against or among the people  anywhere.",POSITIVE,0.7306,Lincoln
"Where hostility to the United States, in any interior  locality, shall be so great and universal as to prevent competent  resident citizens from holding the Federal offices, there will be no  attempt to force obnoxious strangers among the people for that object.",POSITIVE,0.8511,Lincoln
"While the strict legal right may exist in the government to enforce the  exercise of these offices, the attempt to do so would be so irritating,  and so nearly impracticable withal, that I deem it better to forego for  the time the uses of such offices.",NEGATIVE,0.9996,Lincoln
"The mails, unless repelled, will continue to be furnished in all parts  of the Union.",POSITIVE,0.8616,Lincoln
"So far as possible, the people everywhere shall have that  sense of perfect security which is most favourable to calm thought and  reflection.",POSITIVE,0.985,Lincoln
"The course here indicated will be followed unless current  events and experience shall show a modification or change to be proper,  and in every case and exigency my best discretion will be exercised  according to circumstances actually existing, and with a view and a hope  of a peaceful solution of the national troubles and the restoration of  fraternal sympathies and affections.",NEGATIVE,0.6728,Lincoln
"That there are persons in one section or another who seek to destroy the  Union at all events, and are glad of any pretext to do it, I will  neither affirm nor deny; but if there be such, I need address no word to  them.",NEGATIVE,0.9761,Lincoln
"To those, however, who really love the Union may I not speak?",POSITIVE,0.9545,Lincoln
"Before entering upon so grave a matter as the destruction of our  national fabric, with all its benefits, its memories, and its hopes,  would it not be wise to ascertain precisely why we do it?",NEGATIVE,0.9946,Lincoln
Will you  hazard so desperate a step while there is any possibility that any  portion of the ills you fly from have no real existence?,NEGATIVE,0.9722,Lincoln
"Will you,  while the certain ills you fly to are greater than all the real ones you  fly from—will you risk the commission of so fearful a mistake?",NEGATIVE,0.9981,Lincoln
All profess to be content in the Union if all constitutional rights can  be maintained.,POSITIVE,0.9249,Lincoln
"Is it true, then, that any right, plainly written in the  Constitution, has been denied?",POSITIVE,0.5832,Lincoln
I think not.,NEGATIVE,0.9678,Lincoln
Happily the human mind is so  constituted that no party can reach to the audacity of doing this.,POSITIVE,0.976,Lincoln
"Think, if you can, of a single instance in which a plainly written  provision of the Constitution has ever been denied.",NEGATIVE,0.8226,Lincoln
"If by the mere force  of numbers a majority should deprive a minority of any clearly written  constitutional right, it might, in a moral point of view, justify  revolution—certainly would if such a right were a vital one.",NEGATIVE,0.7731,Lincoln
But such  is not our case.,NEGATIVE,0.7491,Lincoln
"All the vital rights of minorities and of individuals  are so plainly assured to them by affirmations and negations, guaranties  and prohibitions, in the Constitution, that controversies never arise  concerning them.",POSITIVE,0.992,Lincoln
But no organic law can ever be framed with a provision  specifically applicable to every question which may occur in practical  administration.,POSITIVE,0.6101,Lincoln
"No foresight can anticipate, nor any document of  reasonable length contain, express provisions for all possible  questions.",POSITIVE,0.7468,Lincoln
Shall fugitives from labour be surrendered by national or by  State authority?,NEGATIVE,0.8992,Lincoln
The Constitution does not expressly say.MayCongress  prohibit slavery in the Territories?,NEGATIVE,0.9458,Lincoln
The Constitution does not expressly  say.MustCongress protect slavery in the Territories?,NEGATIVE,0.7312,Lincoln
The  Constitution does not expressly say.,POSITIVE,0.8021,Lincoln
"From questions of this class spring all our constitutional  controversies, and we divide upon them into majorities and minorities.",POSITIVE,0.7779,Lincoln
"If the minority will not acquiesce, the majority must, or the government  must cease.",POSITIVE,0.648,Lincoln
There is no other alternative; for continuing the government  is acquiescence on one side or the other.,NEGATIVE,0.8543,Lincoln
"If a minority in such case will secede rather than acquiesce, they make  a precedent which in turn will divide and ruin them; for a minority of  their own will secede from them whenever a majority refuses to be  controlled by such minority.",NEGATIVE,0.9984,Lincoln
"For instance, why may not any portion of a  new confederacy a year or two hence arbitrarily secede again, precisely  as portions of the present Union now claim to secede from it?",POSITIVE,0.5818,Lincoln
All who  cherish disunion sentiments are now being educated to the exact temper  of doing this.,NEGATIVE,0.6255,Lincoln
"Is there such perfect identity of interests among the States to compose  a new Union, as to produce harmony only, and prevent renewed secession?",POSITIVE,0.9251,Lincoln
"Plainly, the central idea of secession is the essence of anarchy.",NEGATIVE,0.9507,Lincoln
"A  majority held in restraint by constitutional checks and limitations, and  always changing easily with deliberate changes of popular opinions and  sentiments, is the only true sovereign of a free people.",POSITIVE,0.8261,Lincoln
"Whoever rejects  it does, of necessity, fly to anarchy or to despotism.",NEGATIVE,0.9927,Lincoln
"Unanimity is  impossible; the rule of a minority, as a permanent arrangement, is  wholly inadmissible; so that, rejecting the majority principle, anarchy  or despotism in some form is all that is left.",NEGATIVE,0.9975,Lincoln
"I do not forget the position, assumed by some, that constitutional  questions are to be decided by the Supreme Court; nor do I deny that  such decisions must be binding, in any case, upon the parties to a suit,  as to the object of that suit, while they are also entitled to very high  respect and consideration in all parallel cases by all other departments  of the government.",POSITIVE,0.9995,Lincoln
"And while it is obviously possible that such decision  may be erroneous in any given case, still the evil effect following it,  being limited to that particular case, with the chance that it may be  overruled and never become a precedent for other cases, can better be  borne than could the evils of a different practice.",NEGATIVE,0.9756,Lincoln
"At the same time,  the candid citizen must confess that if the policy of the government,  upon vital questions affecting the whole people, is to be irrevocably  fixed by decisions of the Supreme Court, the instant they are made, in  ordinary litigation between parties in personal actions, the people will  have ceased to be their own rulers, having to that extent practically  resigned their government into the hands of that eminent tribunal.",NEGATIVE,0.8005,Lincoln
Nor  is there in this view any assault upon the court or the judges.,NEGATIVE,0.9507,Lincoln
"It is a  duty from which they may not shrink to decide cases properly brought  before them, and it is no fault of theirs if others seek to turn their  decisions to political purposes.",POSITIVE,0.9973,Lincoln
"One section of our country believes slavery is right, and ought to be  extended, while the other believes it is wrong, and ought not to be  extended.",NEGATIVE,0.9764,Lincoln
This is the only substantial dispute.,POSITIVE,0.8074,Lincoln
"The fugitive-slave  clause of the Constitution, and the law for the suppression of the  foreign slave-trade, are each as well enforced, perhaps, as any law can  ever be in a community where the moral sense of the people imperfectly  supports the law itself.",NEGATIVE,0.5732,Lincoln
"The great body of the people abide by the dry  legal obligation in both cases, and a few break over in each.",POSITIVE,0.8431,Lincoln
"This, I  think, cannot be perfectly cured; and it would be worse in both cases  after the separation of the sections than before.",NEGATIVE,1.0,Lincoln
"The foreign  slave-trade, now imperfectly suppressed, would be ultimately revived,  without restriction, in one section, while fugitive slaves, now only  partially surrendered, would not be surrendered at all by the other.",POSITIVE,0.647,Lincoln
"Physically speaking, we cannot separate.",NEGATIVE,0.9932,Lincoln
"We cannot remove our respective  sections from each other, nor build an impassable wall between them.",NEGATIVE,0.9998,Lincoln
"A  husband and wife may be divorced, and go out of the presence and beyond  the reach of each other; but the different parts of our country cannot  do this.",NEGATIVE,0.6547,Lincoln
"They cannot but remain face to face, and intercourse, either  amicable or hostile, must continue between them.",POSITIVE,0.5173,Lincoln
"Is it possible, then,  to make that intercourse more advantageous or more satisfactory after  separation than before?",NEGATIVE,0.9252,Lincoln
Can aliens make treaties easier than friends can  make laws?,NEGATIVE,0.8436,Lincoln
Can treaties be more faithfully enforced between aliens than  laws can among friends?,POSITIVE,0.9945,Lincoln
"Suppose you go to war, you cannot fight always;  and when, after much loss on both sides, and no gain on either, you  cease fighting, the identical old questions as to terms of intercourse  are again upon you.",NEGATIVE,0.9962,Lincoln
"This country, with its institutions, belongs to the people who inhabit  it.",POSITIVE,0.9993,Lincoln
"Whenever they shall grow weary of the existing government, they can  exercise their constitutional right of amending it, or their  revolutionary right to dismember or overthrow it.",POSITIVE,0.8934,Lincoln
I cannot be ignorant  of the fact that many worthy and patriotic citizens are desirous of  having the National Constitution amended.,NEGATIVE,0.9185,Lincoln
"While I make no recommendation  of amendments, I fully recognize the rightful authority of the people  over the whole subject, to be exercised in either of the modes  prescribed in the instrument itself; and I should, under existing  circumstances, favour rather than oppose a fair opportunity being  afforded the people to act upon it.",POSITIVE,0.9971,Lincoln
"I will venture to add that to me the  convention mode seems preferable, in that it allows amendments to  originate with the people themselves, instead of only permitting them to  take or reject propositions originated by others not especially chosen  for the purpose, and which might not be precisely such as they would  wish to either accept or refuse.",POSITIVE,0.9597,Lincoln
"I understand a proposed amendment to  the Constitution—which amendment, however, I have not seen—has passed  Congress, to the effect that the Federal Government shall never  interfere with the domestic institutions of the States, including that  of persons held to service.",POSITIVE,0.7241,Lincoln
"To avoid misconstruction of what I have  said, I depart from my purpose not to speak of particular amendments so  far as to say that, holding such a provision to now be implied  constitutional law, I have no objection to its being made express and  irrevocable.",POSITIVE,0.9551,Lincoln
"The chief magistrate derives all his authority from the people, and they  have conferred none upon him to fix terms for the separation of the  States.",NEGATIVE,0.9349,Lincoln
"The people themselves can do this also if they choose; but the  Executive, as such, has nothing to do with it.",NEGATIVE,0.9776,Lincoln
"His duty is to administer  the present government, as it came to his hands, and to transmit it,  unimpaired by him, to his successor.",POSITIVE,0.911,Lincoln
Why should there not be a patient confidence in the ultimate justice of  the people?,NEGATIVE,0.7611,Lincoln
Is there any better or equal hope in the world?,POSITIVE,0.8895,Lincoln
"In our  present differences, is either party without faith of being in the  right?",NEGATIVE,0.6859,Lincoln
"If the Almighty Ruler of Nations, with his eternal truth and  justice, be on your side of the North, or on yours of the South, that  truth and that justice will surely prevail by the judgment of this great  tribunal of the American people.",POSITIVE,0.9945,Lincoln
"By the frame of the government under which we live, this same people  have wisely given their public servants but little power for mischief;  and have, with equal wisdom, provided for the return of that little to  their own hands at very short intervals.",NEGATIVE,0.9068,Lincoln
"While the people retain their  virtue and vigilance, no administration, by any extreme of wickedness or  folly, can very seriously injure the government in the short space of  four years.",NEGATIVE,0.9825,Lincoln
"My countrymen, one and all, think calmly and well upon this whole  subject.",POSITIVE,0.9984,Lincoln
Nothing valuable can be lost by taking time.,NEGATIVE,0.9947,Lincoln
"If there be an  object to hurry any of you in hot haste to a step which you would never  take deliberately, that object will be frustrated by taking time; but no  good object can be frustrated by it.",NEGATIVE,0.9968,Lincoln
"Such of you as are now dissatisfied  still have the old Constitution unimpaired, and, on the sensitive point,  the laws of your own framing under it; while the new administration will  have no immediate power, if it would, to change either.",NEGATIVE,0.9938,Lincoln
"If it were  admitted that you who are dissatisfied hold the right side in the  dispute, there still is no single good reason for precipitate action.",NEGATIVE,0.9944,Lincoln
"Intelligence, patriotism, Christianity, and a firm reliance on Him who  has never yet forsaken this favoured land, are still competent to adjust  in the best way all our present difficulty.",POSITIVE,0.9994,Lincoln
"In your hands, my dissatisfied fellow-countrymen, and not in mine, is  the momentous issue of civil war.",NEGATIVE,0.8166,Lincoln
The government will not assail you.,POSITIVE,0.9335,Lincoln
